id,coord_x,coord_y,join_id,join_@id,join_addr_city,join_addr_house,join_addr_postc,join_addr_stree,join_building,join_building_l,join_level,join_name,join_opening_ho,join_phone,join_roof_level,join_shop,join_website,join_addr_count,join_building_c,join_email,join_height,join_internet_a,join_roof_colou,join_roof_shape,join_operator,join_source,join_wheelchair,join_wikidata,distance
2941,1914577.2,4222242.5,node/2389428110,node/2389428110,,,,,,,,Carré des Clercs,,,,mall,,,,,,,,,,survey,limited,,2751.15429709584
2942,1913128.6,4225271.5,node/2389428110,node/2389428110,,,,,,,,Carré des Clercs,,,,mall,,,,,,,,,,survey,limited,,1321.43843580773
2943,1912552.1,4222557,node/2389428110,node/2389428110,,,,,,,,Carré des Clercs,,,,mall,,,,,,,,,,survey,limited,,3066.35170239184
2944,1914812.2,4224101.5,node/2389428110,node/2389428110,,,,,,,,Carré des Clercs,,,,mall,,,,,,,,,,survey,limited,,970.613111054872
2945,1914111.8,4224879,node/2389428110,node/2389428110,,,,,,,,Carré des Clercs,,,,mall,,,,,,,,,,survey,limited,,326.831772849206
2946,1913964.2,4221618,node/2389428110,node/2389428110,,,,,,,,Carré des Clercs,,,,mall,,,,,,,,,,survey,limited,,3401.74123756208
2947,1914820.1,4220584.5,node/2389428110,node/2389428110,,,,,,,,Carré des Clercs,,,,mall,,,,,,,,,,survey,limited,,4422.8099194869
2948,1915257.2,4223113,node/2389428110,node/2389428110,,,,,,,,Carré des Clercs,,,,mall,,,,,,,,,,survey,limited,,2054.64902494883
2949,1914101.9,4222870,node/2389428110,node/2389428110,,,,,,,,Carré des Clercs,,,,mall,,,,,,,,,,survey,limited,,2142.80198230874
2950,1915453.8,4222246,node/2389428110,node/2389428110,,,,,,,,Carré des Clercs,,,,mall,,,,,,,,,,survey,limited,,2931.63989775016
2951,1915046.9,4222620,node/2389428110,node/2389428110,,,,,,,,Carré des Clercs,,,,mall,,,,,,,,,,survey,limited,,2450.79463521183
2952,1914122.8,4221978,node/2389428110,node/2389428110,,,,,,,,Carré des Clercs,,,,mall,,,,,,,,,,survey,limited,,3025.71575713905
2953,1913921.8,4221884,node/2389428110,node/2389428110,,,,,,,,Carré des Clercs,,,,mall,,,,,,,,,,survey,limited,,3144.76803802883
2954,1914787.5,4222049.5,node/2389428110,node/2389428110,,,,,,,,Carré des Clercs,,,,mall,,,,,,,,,,survey,limited,,2962.57425688115
2955,1914332.5,4222031.5,node/2389428110,node/2389428110,,,,,,,,Carré des Clercs,,,,mall,,,,,,,,,,survey,limited,,2958.91159125361
2956,1913373.6,4225421,node/2389428110,node/2389428110,,,,,,,,Carré des Clercs,,,,mall,,,,,,,,,,survey,limited,,1131.57119102186
2957,1915389.5,4224629.5,node/2389428110,node/2389428110,,,,,,,,Carré des Clercs,,,,mall,,,,,,,,,,survey,limited,,1034.50532492079
2958,1915069.5,4222608.5,node/2389428110,node/2389428110,,,,,,,,Carré des Clercs,,,,mall,,,,,,,,,,survey,limited,,2467.76925149236
2959,1915059.6,4224631,node/2389428110,node/2389428110,,,,,,,,Carré des Clercs,,,,mall,,,,,,,,,,survey,limited,,733.460368231142
2960,1913743.2,4225185.5,node/2389428110,node/2389428110,,,,,,,,Carré des Clercs,,,,mall,,,,,,,,,,survey,limited,,704.248322607524
2961,1914753.8,4222559.5,node/2389428110,node/2389428110,,,,,,,,Carré des Clercs,,,,mall,,,,,,,,,,survey,limited,,2452.52022810566
2962,1914548,4222118,node/2389428110,node/2389428110,,,,,,,,Carré des Clercs,,,,mall,,,,,,,,,,survey,limited,,2874.00513344284
2963,1914333.4,4222022,node/2389428110,node/2389428110,,,,,,,,Carré des Clercs,,,,mall,,,,,,,,,,survey,limited,,2968.38124867017
2964,1915206,4224872,node/2389428110,node/2389428110,,,,,,,,Carré des Clercs,,,,mall,,,,,,,,,,survey,limited,,795.15705169448
2965,1915251.5,4225146,node/2389428110,node/2389428110,,,,,,,,Carré des Clercs,,,,mall,,,,,,,,,,survey,limited,,846.642005357747
2966,1914713.1,4223440.5,node/2389428110,node/2389428110,,,,,,,,Carré des Clercs,,,,mall,,,,,,,,,,survey,limited,,1576.21418275828
2967,1914886.5,4221737,node/2389428110,node/2389428110,,,,,,,,Carré des Clercs,,,,mall,,,,,,,,,,survey,limited,,3285.48838048835
2968,1914811.8,4222309,node/2389428110,node/2389428110,,,,,,,,Carré des Clercs,,,,mall,,,,,,,,,,survey,limited,,2708.68824810087
2969,1913493.6,4224164.5,node/2389428110,node/2389428110,,,,,,,,Carré des Clercs,,,,mall,,,,,,,,,,survey,limited,,1239.89540322543
2970,1913093.8,4222906.5,node/2389428110,node/2389428110,,,,,,,,Carré des Clercs,,,,mall,,,,,,,,,,survey,limited,,2468.78143521052
2971,1914439.1,4222242,node/2389428110,node/2389428110,,,,,,,,Carré des Clercs,,,,mall,,,,,,,,,,survey,limited,,2747.20158048261
2972,1915991.6,4223189,node/2389428110,node/2389428110,,,,,,,,Carré des Clercs,,,,mall,,,,,,,,,,survey,limited,,2389.96195550827
2973,1913218.6,4223617.5,node/2389428110,node/2389428110,,,,,,,,Carré des Clercs,,,,mall,,,,,,,,,,survey,limited,,1823.06784114902
2974,1914876.1,4221534,node/2389428110,node/2389428110,,,,,,,,Carré des Clercs,,,,mall,,,,,,,,,,survey,limited,,3485.16905257617
2975,1914755.8,4222409.5,node/2389428110,node/2389428110,,,,,,,,Carré des Clercs,,,,mall,,,,,,,,,,survey,limited,,2601.45846310243
2976,1913176.6,4223589,node/2389428110,node/2389428110,,,,,,,,Carré des Clercs,,,,mall,,,,,,,,,,survey,limited,,1872.2213215065
2977,1913393.8,4224539.5,node/2389428110,node/2389428110,,,,,,,,Carré des Clercs,,,,mall,,,,,,,,,,survey,limited,,1119.93969696246
2978,1915639.4,4223510.5,node/2389428110,node/2389428110,,,,,,,,Carré des Clercs,,,,mall,,,,,,,,,,survey,limited,,1916.88954211888
2979,1913390.8,4224689.5,node/2389428110,node/2389428110,,,,,,,,Carré des Clercs,,,,mall,,,,,,,,,,survey,limited,,1071.46567544204
2980,1914658.5,4222923,node/2389428110,node/2389428110,,,,,,,,Carré des Clercs,,,,mall,,,,,,,,,,survey,limited,,2079.90702619861
2981,1914734.5,4225416.5,node/2389428110,node/2389428110,,,,,,,,Carré des Clercs,,,,mall,,,,,,,,,,survey,limited,,530.90265580094
2982,1915682,4224477.5,node/2389428110,node/2389428110,,,,,,,,Carré des Clercs,,,,mall,,,,,,,,,,survey,limited,,1362.21488819355
2983,1914650.6,4221570,node/2389428110,node/2389428110,,,,,,,,Carré des Clercs,,,,mall,,,,,,,,,,survey,limited,,3426.93176667208
2984,1914968.2,4222203,node/2389428110,node/2389428110,,,,,,,,Carré des Clercs,,,,mall,,,,,,,,,,survey,limited,,2839.64485833692
2985,1913393.9,4225586,node/2389428110,node/2389428110,,,,,,,,Carré des Clercs,,,,mall,,,,,,,,,,survey,limited,,1186.6518928566
2986,1915338.9,4224741,node/2389428110,node/2389428110,,,,,,,,Carré des Clercs,,,,mall,,,,,,,,,,survey,limited,,952.278189371431
2987,1912845.8,4225544,node/2389428110,node/2389428110,,,,,,,,Carré des Clercs,,,,mall,,,,,,,,,,survey,limited,,1668.67168356086
2988,1915274,4225230.5,node/2389428110,node/2389428110,,,,,,,,Carré des Clercs,,,,mall,,,,,,,,,,survey,limited,,887.918425631266
2989,1914990.6,4222003.5,node/2389428110,node/2389428110,,,,,,,,Carré des Clercs,,,,mall,,,,,,,,,,survey,limited,,3039.75862435191
2990,1914331.1,4221293.5,node/2389428110,node/2389428110,,,,,,,,Carré des Clercs,,,,mall,,,,,,,,,,survey,limited,,3696.68932000029
2991,1913453.8,4225433,node/2389428110,node/2389428110,,,,,,,,Carré des Clercs,,,,mall,,,,,,,,,,survey,limited,,1062.8401040194
2992,1913040.4,4225688.5,node/2389428110,node/2389428110,,,,,,,,Carré des Clercs,,,,mall,,,,,,,,,,survey,limited,,1546.3119672001
2993,1915684.6,4223527.5,node/2389428110,node/2389428110,,,,,,,,Carré des Clercs,,,,mall,,,,,,,,,,survey,limited,,1933.08082167324
2994,1915166.1,4222828,node/2389428110,node/2389428110,,,,,,,,Carré des Clercs,,,,mall,,,,,,,,,,survey,limited,,2286.45493579189
2995,1914788.2,4222231,node/2389428110,node/2389428110,,,,,,,,Carré des Clercs,,,,mall,,,,,,,,,,survey,limited,,2782.66379663979
2996,1914022.2,4223175,node/2389428110,node/2389428110,,,,,,,,Carré des Clercs,,,,mall,,,,,,,,,,survey,limited,,1857.13091885742
2997,1912637,4221732,node/2389428110,node/2389428110,,,,,,,,Carré des Clercs,,,,mall,,,,,,,,,,survey,limited,,3712.98744195085
2998,1915143.6,4224977.5,node/2389428110,node/2389428110,,,,,,,,Carré des Clercs,,,,mall,,,,,,,,,,survey,limited,,724.176022498154
