id,coord_x,coord_y,join_osm_id,join_name,join_type,join_oneway,join_bridge,join_tunnel,join_maxspeed,distance
311,1914739.1,4225229.5,4787030,Avenue Maréchal Randon,tertiary,1,,,31,19.2388589914226
312,1913776.5,4225225,394747095,,path,,,,,2.60566670618493
313,1914071.1,4222834.5,48038069,,footway,,,,,4.18718351495464
314,1915052.9,4222168,53563556,,footway,,,,,6.682224625878
315,1914482.1,4224046.5,82633060,,footway,,,,,18.0952524901348
316,1913251,4222569,37667053,Chemin Meney,unclassified,1,,,31,1.02789449663727
317,1912683.5,4223170,120475900,,path,,,,,15.9405689727899
318,1914696.5,4222633.5,41874740,Avenue Marcelin Berthelot,residential,1,,,31,5.30493627167654
319,1914184.4,4222279,4221478,Allée des Romantiques,residential,1,,,31,15.1969415478118
320,1913755.2,4223601.5,97089106,,footway,,,,,6.8489603440444
321,1912450,4223646,155250917,,footway,,,,,0.772569724689597
322,1913910,4221873,5995819,Rue des Maquis de l'Oisans,residential,,,,31,5.23168657091035
323,1914260.4,4222503.5,116041603,,footway,,,,,16.2989895684253
324,1914710.8,4225394,76209699,,footway,,,,,9.6367039609363
325,1915691.9,4222905,162238398,Rue Marcel Bourette,residential,1,,,31,7.22082551560127
326,1914296.9,4221862.5,177391908,,pedestrian,,,,,5.7143074462002
327,1915220.5,4225012.5,33512834,Avenue Saint-Roch,unclassified,,,,31,4.90999944460194
328,1912702.5,4223094.5,120476851,,path,,,,,1.39017042293934
329,1914511.8,4225164,238823991,,pedestrian,,,,,1.45243121572152
330,1913542.6,4221523.5,292166883,Avenue Paul Verlaine,secondary,1,,,51,6.49366160916981
331,1914089.2,4222117.5,159489083,,service,,,,,4.47646087474078
332,1913124,4222814.5,385182515,,footway,,,,,11.8256741646999
333,1913749.8,4225189,394897108,,footway,,,,,25.3125550264196
334,1914669.9,4223832.5,361151433,,residential,1,,,31,0.849048505429176
335,1914492.8,4221590.5,299529792,Avenue Marie Reynoard,secondary,1,,,51,5.41580290148119
