id,distance
565,4635351.3162928
566,4638488.75471144
567,4636234.33074705
568,4639000.76118641
569,4637619.53142456
570,4636853.93622847
571,4636107.13151308
572,4635879.82588878
573,4635651.44420447
574,4637187.32060405
575,4635492.61091407
576,4635401.03947111
577,4638764.32557506
578,4637154.72110281
579,4636623.87948855
580,4636751.51849081
581,4637076.3310191
582,4639012.25709172
583,4635677.78236216
584,4638405.83514425
585,4638089.60536139
586,4636458.09117863
587,4636581.86921884
588,4637771.31257183
589,4634982.14465025
590,4639380.59843383
591,4636934.95199669
592,4637062.61555083
593,4634869.38923158
594,4635656.66550818
595,4637606.33323437
596,4637293.15957419
597,4636655.72490053
598,4638256.22476715
599,4637102.15024463
600,4636272.04576402
601,4636447.11042337
602,4635997.08168664
603,4635613.1169468
604,4637956.58107048
605,4636949.05852111
606,4635891.0949578
607,4638475.86866804
608,4635456.86558795
609,4638550.64655166
610,4636038.31097765
611,4635624.87335819
612,4637603.65568047
613,4638487.30168552
614,4636720.31599061
615,4636152.58242998
616,4635953.32232082
617,4635774.83495168
618,4636502.76114812
619,4636150.35070171
620,4638420.90623902
621,4636799.70265053
622,4635073.23546624
623,4635426.20094519
624,4634517.88887634
625,4636475.74266289
626,4637963.31063884
627,4636958.44643932
628,4637229.58798466
629,4636166.04657225
630,4635517.75955958
631,4635743.90702194
632,4638759.34723148
633,4636321.92952798
634,4636401.06416503
635,4634414.48952764
636,4635898.46576154
637,4634822.28434803
638,4635691.23608478
639,4636313.77984487
640,4636737.24564383
641,4635555.73306201
642,4636715.81624233
643,4638625.19117495
644,4635008.94985082
645,4636038.73296421
646,4635264.60157141
647,4638510.5841252
648,4638434.77686962
649,4636705.07262965
650,4638221.28870055
651,4638308.28261103
652,4636637.95196964
653,4636056.44938994
654,4638604.87576307
655,4636535.6246519
656,4636622.09967832
657,4634719.92672307
658,4635874.40843177
659,4636460.7920778
660,4637215.5249627
661,4638171.90621394
662,4636342.65028624
663,4637807.58865394
664,4634838.68109986
